動畫名稱,ID,集數,年份,季節,字幕組
為何我的世界被遺忘了？,1509,1-12,2024,夏,
天穗之咲稻姬,1491,1-13,2024,夏,
關於我轉生變成史萊姆這檔事 第三季,1421,1-24,2024,春,
這個世界漏洞百出,1487,1-13,2024,夏,
尼爾：自動人形 Ver1.1a,1179,1-24,2023/2024,冬/夏,喵萌奶茶屋
地下城中的人,1486,1-12,2024,夏,
現代誤譯,1506,1-12,2024,夏,
靠廢柴技能【狀態異常】成為最強的我將蹂躪一切,1482,1-12,2024,夏,
義妹生活,1489,1-12,2024,夏,撥雪尋春
曾經、魔法少女和邪惡相互為敵。,1503,1-12,2024,夏,
哎咕島消失的舔甜歌姬,1504,1-12,2024,夏,
新人大叔冒險者，被最強隊伍操到死成無敵,1475,1-12,2024,夏,
SHY 靦腆英雄 第二季,1474,13-24,2024,夏,
深夜重拳,1470,1-12,2024,夏,
金肉人 完美超人始祖篇,1502,1-11,2024,夏,
身為VTuber的我因為忘記關台而成了傳說,1500,1-12,2024,夏,
拉麵赤貓,1483,1-12,2024,夏,極影
模擬後宮體驗,1481,1-12,2024,夏,
我要【招架】一切～反誤解的世界最強想成為冒險家～,1479,1-12,2024,夏,
黃昏光影,1480,1-12,2024,夏,
鹿乃子乃子乃子虎視眈眈,1488,1-12,2024,夏,SweetSub
不時輕聲地以俄語遮羞的鄰座艾莉同學,1476,1-12,2024,夏,喵萌奶茶屋
異世界悠閒紀行～邊養娃邊當冒險者～,1501,1-12,2024,夏,
我的妻子不具感情,1473,1-12,2024,夏,
從路人角色開始的探索英雄譚,1492,1-12,2024,夏,喵萌奶茶屋
魔王軍最強的魔術師是人類,1471,1-12,2024,夏,
異世界自殺突擊隊,1472,1-10,2024,夏,悠哈璃羽
雀魂 KANG!!,1515,1-13,2024,春,桜都
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～ 第二季,1183,1-24,2023/2024,冬/春,
失憶投捕,1452,1-12,2024,春,
Girls Band Cry,1440,1-13,2024,春,喵萌奶茶屋
鬼滅之刃 柱訓練篇,1468,1-8,2024,春,
隊長小翼Season2 青少年篇,1315,1-39,2023,秋,
吹響吧！上低音號 第三季,1448,1-13,2024,春,
無職轉生II～到了異世界就拿出真本事～ (第二季),1270,0-24,2023/2024,夏/春,喵萌奶茶屋
怪異與少女與神隱,1459,1-12,2024,春,喵萌奶茶屋
Unnamed Memory 無名記憶,1458,1-12,2024,春,喵萌奶茶屋
終末的火車前往何方？,1427,1-12,2024,春,喵萌奶茶屋
THE NEW GATE,1462,1-12,2024,春,
怪獸 8 號,1461,1-12,2024,春,
魔法科高中的劣等生 第三季,1435,1-13,2024,春,
WIND BREAKER—防風少年—,1431,1-13,2024,春,
格鬥實況,1457,1-12,2024,春,
約會大作戰 V (第五季),1456,1-12,2024,春,
聲優廣播的幕前幕後,1454,1-12,2024,春,喵萌奶茶屋
RINKAI！女子競輪,1453,1-12,2024,春,
花野井同學與戀愛病,1451,1-12,2024,春,
從Lv2開始開外掛的前勇者候補過著悠哉異世界生活,1450,1-12,2024,春,
我回來了、歡迎回家,1464,1-12,2024,春,幻櫻
月光下的異世界之旅 第二幕 (第二季),1393,1-25,2024,冬,
神明渴求著遊戲。,1422,1-13,2024,春,
轉生貴族憑鑑定技能扭轉人生,1447,1-12,2024,春,
蔚藍檔案 The Animation,1446,1-12,2024,春,
死神少爺與黑女僕 第三季,1444,1-12,2024,春,
"<a href=""https://anime1.pw/?cat=43"">明明只是個煙霧彈配角，卻得到完美王子的寵愛。</a>",0,1-8,2024,春,桜都
夜晚的水母不會游泳,1442,1-12,2024,春,喵萌奶茶屋
黑執事 -寄宿學校篇-,1460,1-11,2024,春,
單人房、日照一般、附天使。,1425,1-12,2024,春,喵萌奶茶屋
極速星舞,1437,1-12,2024,春,
偶像大師 閃耀色彩,1436,1-12,2024,春,
星際莊的戀愛日記,1434,1-12,2024,春,
Love Live！虹咲學園 學園偶像同好會 短篇動畫(虹咲四格) 第二季,1433,1-12,2024,春,喵萌奶茶屋
福星小子(她來自煩星) 第二季,1404,1-23,2024,冬,喵萌奶茶屋
怪人的沙拉碗,1432,1-12,2024,春,
王牌酒保 Glass of God,1426,1-12,2024,春,悠哈璃羽
轉生為第七王子，隨心所欲的魔法學習之路,1424,1-12,2024,春,
Re：Monster,1423,1-12,2024,春,
老夫老妻重返青春,1445,1-11,2024,春,桜都
迷宮飯,1374,1-24,2024,冬,幻櫻
身為魔王的我娶了奴隸精靈為妻，該如何表白我的愛？,1430,1-12,2024,夏,喵萌奶茶屋
寶可夢 地平線 太樂巴戈斯的光輝,1362,26-45,2023,秋,楓葉
忍者神威,1419,1-13,2024,冬,喵萌奶茶屋
鈴芽之旅,1466,劇場版,2022,秋,喵萌奶茶屋
卡片戰鬥!! 先導者 Divinez,1409,1-13,2024,冬,
詐騙之王 razbliuto(大欺詐師),1418,1-4,2024,冬,SweetSub
BUCCHIGIRI?!,1412,1-12,2024,冬,喵萌奶茶屋
王者天下 第五季,1413,1-13,2024,冬,豌豆
小酒館 Basue,1408,1-13,2024,冬,
大室家 dear sisters,1441,劇場版,2024,冬,喵萌奶茶屋
魔女與野獸,1406,1-12,2024,冬,
金屬口紅 Metallic Rouge,1401,1-13,2024,冬,喵萌奶茶屋
SYNDUALITY Noir,1300,1-24,2023/2024,夏/冬,喵萌奶茶屋
戰國妖狐,1399,1-13,2024,冬,喵萌奶茶屋
香格里拉·開拓異境～糞作獵手挑戰神作～,1312,1-25,2023,秋,動漫國
小不點,1351,1-24,2023,秋,
肌肉魔法使-MASHLE- 神覺者候補選拔試驗篇(第二季),1383,1-12,2024,冬,
狩龍人拉格納,1309,1-24,2023,秋,
我獨自升級,1384,1-12,2024,冬,
我內心的糟糕念頭 第二季,1386,1-13,2024,冬,喵萌奶茶屋
治癒魔法的錯誤使用法,1377,1-13,2024,冬,
最弱魔物使開始了撿垃圾之旅。,1407,1-12,2024,冬,喵萌奶茶屋
月刊妄想科學,1405,1-12,2024,冬,
名湯「異世界溫泉」開拓記～30多歲溫泉狂熱者，轉生到悠閒的溫泉天國～,1403,1-12,2024,冬,
勇氣爆發 Bang Bravern,1402,1-12,2024,冬,
藥師少女的獨語,1361,1-24,2023,秋,喵萌奶茶屋
如果30歲還是處男，似乎就能成為魔法師,1400,1-12,2024,冬,喵萌奶茶屋
憧憬成為魔法少女,1371,1-13,2024,冬,桜都
弱角友崎同學 2nd STAGE (第二季),1369,1-13,2024,冬,
歡迎來到實力至上主義的教室 3rd Season (第三季),1370,1-13,2024,冬,
外科醫生愛麗絲(女王的手術刀),1398,1-12,2024,冬,
北海道辣妹金古錐,1397,1-12,2024,冬,喵萌奶茶屋
反派千金等級99～我是隱藏頭目但不是魔王～,1396,1-12,2024,冬,
愚蠢天使與惡魔共舞,1394,1-12,2024,冬,
公主殿下，「拷問」的時間到了,1395,1-12,2024,冬,
HIGH CARD 至高之牌 第二季,1392,1-12,2024,冬,
休假的壞人先生,1391,1-12,2024,冬,
輪迴七次的惡役千金，在前敵國享受隨心所欲的新婚生活,1389,1-12,2024,冬,
因為不是真正的夥伴而被逐出勇者隊伍，流落到邊境展開慢活人生 2nd (第二季),1390,1-12,2024,冬,LoliHouse
青之驅魔師 島根啟明結社篇,1385,1-12,2024,冬,豌豆
最強肉盾的迷宮攻略～擁有稀少技能體力9999的肉盾，被勇者隊伍辭退了～,1387,1-12,2024,冬,
烈焰先鋒 救國的橘衣消防員,1308,1-23,2023,秋,
指尖相觸，戀戀不捨,1382,1-12,2024,冬,
婚戒物語,1381,1-12,2024,冬,
碰之道,1380,1-12,2024,冬,
百千家的妖怪王子,1379,1-12,2024,冬,
不死不運,1340,1-24,2023,秋,
異修羅,1378,1-12,2024,冬,喵萌奶茶屋
葬送的芙莉蓮,1307,1-28,2023,秋,
佐佐木與文鳥小嗶,1375,1-12,2024,冬,喵萌奶茶屋
非自願的不死冒險者,1376,1-12,2024,冬,
秒殺外掛太強了，異世界的傢伙們根本就不是對手。,1373,1-12,2024,冬,
魔都精兵的奴隸,1372,1-12,2024,冬,
愛犬訊號,1360,1-20,2023,秋,
狩火之王 第二季,1410,1-10,2024,冬,
"<a href=""https://anime1.pw/?cat=41"">掙扎吧，亞當君</a>",0,1-8,2024,冬,桜都
歡迎來到駒田蒸餾所,1417,劇場版,2023,秋,喵萌奶茶屋
豬肝記得煮熟再吃,1349,1-12,2023,秋,
伸向天空！光之美少女,1208,1-50,2023,冬,雪飄
MONSTERS 一百三情飛龍侍極,1414,1,2024,冬,
川越男子歌唱團,1355,1-12,2023,秋,-
GOOD NIGHT WORLD,1411,1-12,2023,秋,漫貓
靠著魔法藥水在異世界活下去！,1358,1-12,2023,秋,喵萌奶茶屋
留級魔女 風嘉與闇之魔女,1388,劇場版,2023,冬,MCE漢化組
星靈感應,1354,1-12,2023,秋,喵萌奶茶屋
神選 GOD.app,1332,1-12,2023,秋,喵萌奶茶屋
青春豬頭少年不會夢到嬌憐外出妹,1366,劇場版,2023,春,動漫國
鐵路浪漫譚2(第二季),1357,1-13,2023,秋,澄空學園
家裡蹲吸血姬的鬱悶,1343,1-12,2023,秋,
催眠麥克風 -Division Rap Battle- Rhyme Anima +(第二季),1339,1-13,2023,秋,
咒術迴戰 第二季,1281,25-47,2023,夏,豌豆&風之聖殿
16bit 的感動 ANOTHER LAYER,1331,1-13,2023,秋,SweetSub
賽馬娘Pretty Derby Season 3(第三季),1329,1-13,2023,秋,桜都
小邪神飛踢(邪神與廚二病少女) 世紀末篇,1365,OVA,2023,秋,幻櫻
偶像大師 百萬人演唱會！,1356,1-12,2023,秋,動漫國
Paradox Live THE ANIMATION,1325,1-12,2023,秋,
殭屍100～在成為殭屍前要做的100件事～,1290,1-12,2023,夏,
屍體如山的死亡遊戲,1246,1-24,2023,春,
鴨乃橋論的禁忌推理,1318,1-13,2023,秋,
米奇與達利 惡童物語,1317,1-13,2023,秋,
希望的力量～大人光之美少女'23～,1353,1-12,2023,秋,WBX-SUB&雪飄
黑暗集會,1291,1-25,2023,夏,
我們的雨色協議,1350,1-12,2023,秋,
超超超超超喜歡你的100個女朋友,1352,1-12,2023,秋,千夏&喵萌奶茶屋
重生者的魔法一定要特別,1348,1-12,2023,秋,
破滅的王國,1341,1-12,2023,秋,
我的新上司是天然呆,1346,1-12,2023,秋,
女朋友 and 女朋友 (女友成雙) 第二季,1342,1-12,2023,秋,
堤亞穆帝國物語～從斷頭台開始，公主重生後的逆轉人生～,1347,1-12,2023,秋,
世界盡頭的聖騎士 鐵鏽之山的君王(第二季),1345,1-12,2023,秋,
SPY×FAMILY間諜家家酒 第二季,1344,1-12,2023,秋,桜都
盾之勇者成名錄 第三季,1337,1-12,2023,秋,桜都
哥布林殺手II(第二季),1336,1-12,2023,秋,
位於戀愛光譜極端的我們,1338,1-12,2023,秋,
地下忍者,1335,1-12,2023,秋,
聖魔大戰 BIKKURI-MEN,1333,1-12,2023,秋,
柚木家的四兄弟。,1334,1-12,2023,秋,
大小姐與看門狗,1306,1-13,2023,秋,
Dr.STONE 新石紀 NEW WORLD,1232,1-22,2023,春/秋,豌豆&風之聖殿
魔法使的新娘 SEASON2(第二季),1230,1-24,2023,春/秋,動漫國/星空
想當冒險者前往都市的女兒成為S級,1305,1-13,2023,秋,
絆之Allele 第二季,1330,13-24,2023,秋,-
BULLBUSTER,1327,1-12,2023,秋,
撿走被人悔婚的千金，教會她壞壞的幸福生活,1326,1-12,2023,秋,
我想成為影之強者！ 2nd season(第二季),1328,1-12,2023,秋,桜都
勇者赫魯庫,1294,1-24,2023,夏,喵萌奶茶屋
聖女魔力無所不能 第二季,1324,1-12,2023,秋,
B-PROJECT ～熱烈＊Love Call～,1323,1-12,2023,秋,
我的推是壞人大小姐。,1319,1-12,2023,秋,
某大叔的VRMMO活動記,1321,1-12,2023,秋,
聖劍學院的魔劍使,1322,1-12,2023,秋,
SHY 靦腆英雄,1320,1-12,2023,秋,
MF GHOST 燃油車鬥魂,1310,1-12,2023,秋,
暴食狂戰士～唯有我突破了所謂「等級」的概念～,1316,1-12,2023,秋,
OVERTAKE！,1314,1-12,2023,秋,
凹凸魔女的親子日常,1313,1-12,2023,秋,
神劍闖江湖 ―明治劍客浪漫譚―,1280,1-24,2023,夏,
"<a href=""https://anime1.pw/?cat=38"">秘密任務～潛入搜查官絕對不會輸！～</a>",0,1-8,2023,秋,桜都
我內心的糟糕念頭,1212,1-12+SP,2023,春,喵萌奶茶屋
明日方舟 冬隱歸路(第二季),1359,1-8,2023,秋,-
妙廟美少女,1287,1-12+13,2023,夏,
進擊的巨人 The Final Season(第四季),739,1-30,2020/2022,2020秋/2022冬,豌豆
關於我轉生變成史萊姆這檔事 柯里烏斯之夢,1363,1-3,2023,秋,-
寶可夢 地平線 莉可與羅伊的啟程,1260,1-25,2023,春,楓葉
七魔劍支配天下,1298,1-15,2023,夏,
藍色管弦樂,1254,1-24,2023,春,動漫國
EDENS ZERO 第二季,1218,1-25,2023,春,動漫國
卡片戰鬥!! 先導者 will+Dress 第三季,1286,1-13,2023,夏,
異世界一擊殺姊姊 ～姊姊同伴的異世界生活開始了～,1311,1-12,2023,春,-
BLEACH 死神 千年血戰篇-訣別譚-,1285,1-13,2023,夏,豌豆&風之聖殿
其實，我乃最強？,1269,1-12,2023,夏,
能幹貓今天也憂鬱,1284,1-13,2023,夏,
AI電子基因,1283,1-12,2023,夏,SweetSub
白聖女與黑牧師,1296,1-12,2023,夏,
不死少女的謀殺鬧劇,1278,1-13,2023,夏,喵萌奶茶屋
打工吧！！魔王大人 第二季,1095,1-24,2022,夏,動漫國
獻祭公主與獸王,1261,1-24,2023,春,喵萌奶茶屋
我喜歡的女孩忘記戴眼鏡,1277,1-13,2023,夏,幻櫻
公司的小小前輩,1272,1-12,2023,夏,
妖幻三重奏,1195,1-12,2023,冬,極影
死神少爺與黑女僕 第二季,1293,1-12,2023,夏,
英雄教室,1292,1-12,2023,夏,
堀與宮村 -piece-,1266,1-13,2023,夏,
總之就是很可愛 第二季,1238,1-16,2023,春,桜都
MIX 第二季 ~第二個夏天，邁向晴空~,1214,1-24,2023,春,
雖然等級只有1級但固有技能是最強的,1289,1-12,2023,夏,
成為悲劇元凶的最強異端，最後頭目女王為了人民犧牲奉獻,1279,1-12,2023,夏,
銀砂糖師與黑妖精～sugar apple fairy tale～,1175,1-24,2023,冬/夏,喵萌奶茶屋
聖者無雙～上班族的異世界生存之道～,1282,1-12,2023,夏,
間諜教室 第二季,1297,13-24,2023,夏,喵萌奶茶屋
文豪野犬 (文豪Stray Dogs) 第五季,1299,1-11,2023,夏,幻櫻
物之古物奇譚,1193,1-24,2023,冬/夏,-
滿懷美夢的少年是現實主義者,1276,1-12,2023,夏,
政宗君的復仇R (第二季),1273,1-12,2023,夏,
Lv1魔王與獨居廢勇者,1274,1-12,2023,夏,
幻日夜羽 -鏡中暉光-,1263,1-13,2023,夏,極影
AYAKA ‐綾島奇譚‐,1268,1-12,2023,夏,
萊莎的鍊金工房 ～常闇女王與秘密藏身處～,1267,1-12,2023,夏,
謊言遊戲,1288,1-12,2023,夏,
BanG Dream! It’s MyGO!!!!!,1265,1-13,2023,夏,喵萌奶茶屋
轉生成自動販賣機的我今天也在迷宮徘徊,1302,連載中(10),2023,夏,
五等分的新娘 特別篇,1303,1-2,2023,夏,星空
甜點轉生,1275,1-12,2023,夏,
"<a href=""https://anime1.pw/?cat=36"">夫婦交歡～回不去的夜晚～</a>",0,1-8,2023,夏,桜都
出租女友 第三季,1295,25-36,2023,夏,喵萌奶茶屋
女神咖啡廳,1253,1-12,2023,春,喵萌奶茶屋
THE MARGINAL SERVICE,1256,1-12,2023,春,動漫國
刀劍神域劇場版 -Progressive- 陰沉薄暮的詼諧曲,1301,劇場版,2022,秋,動漫國
"<a href=""https://anime1.pw/?cat=34"">為漣蒼士獻上純潔</a>",0,1-8,2023,春,桜都
在無神世界裡進行傳教活動,1240,1-12,2023,春,桜都
放學後失眠的你,1249,1-13,2023,春,喵萌奶茶屋
Fate/strange Fake -Whisper of Dawn-,1271,1,2023,夏,
機動戰士鋼彈 水星的魔女 Season 2,1242,13-24,2023,春,喵萌奶茶屋
地獄樂,1224,1-13,2023,春,豌豆&風之聖殿
肌肉魔法使-MASHLE-,1236,1-12,2023,春,
不知內情的轉學生不管三七二十一纏了上來。,1250,1-13,2023,春,幻櫻
偶像大師 灰姑娘女孩 U149,1228,1-12,2023,春,喵萌奶茶屋
在異世界獲得超強能力的我，在現實世界照樣無敵～等級提升改變人生命運～,1222,1-13,2023,春,
魔術士歐菲 流浪之旅 聖域篇(第四季),1248,1-12,2023,春,
【我推的孩子】,1247,1-11,2023,春,星空
黃金神威 第四季,1121,1-13,2022,秋,幻櫻
World Dai Star,1252,1-12,2023,春,喵萌奶茶屋
Love Live！虹咲學園 學園偶像同好會 短篇動畫(虹咲四格),1172,1-15,2023,冬,喵萌奶茶屋
她去公爵家的理由,1245,1-12,2023,春,
魔法少女毀滅者,1258,1-12,2023,春,北宇治
天國大魔境,1225,1-13,2023,春,SweetSub
可愛過頭大危機,1239,1-12,2023,春,喵萌奶茶屋
第二次被異世界召喚,1243,1-12,2023,春,
鄰人似銀河,1241,1-12,2023,春,LoliHouse
和山田談場Lv999的戀愛,1215,1-13,2023,春,喵萌奶茶屋
躍動青春,1234,1-12,2023,春,喵萌奶茶屋
江戶前精靈,1237,1-12,2023,春,
小鳥之翼 第二季,1235,1-12,2023,春,
六道的惡女們,1257,1-12,2023,春,六道我大鴿漢化組
勇者死了！,1231,1-12,2023,春,
Opus.COLORs 色彩高校星,1233,1-12,2023,春,
百合是我的工作！,1229,1-12,2023,春,喵萌奶茶屋
海盜戰記 SEASON 2 (第二季),1197,1-24,2023,冬,豌豆
為美好的世界獻上爆焰！,1227,1-12,2023,春,桜都
久保同學不放過我,1199,1-12,2023,冬,愛戀&漫貓
東京喵喵 NEW～♡ 第二季,1226,1-12,2023,春,-
絆之Allele,1223,1-12,2023,春,-
機戰少女 Alice Expansion,1220,1-12,2023,春,-
帶著智慧型手機闖蕩異世界。 第二季,1221,1-12,2023,春,-
熊熊勇闖異世界 PUNCH！(第二季),1219,1-12,2023,春,桜都
我與機器子,1156,1-28,2022,秋,-
轉生貴族的異世界冒險錄～不知自重的眾神使徒～,1216,1-12,2023,春,喵萌奶茶屋
鬼滅之刃 刀匠村篇,1244,1-11,2023,春,豌豆&風之聖殿
我家的英雄,1217,1-12,2023,春,
國王排名 勇氣的寶箱,1251,1-10,2023,春,
賽馬娘Pretty Derby Road to the Top,1255,1-4,2023,春,-
鏡之孤城,1259,劇場版,2022,秋,
怕痛的我，把防禦力點滿就對了 第二季,1201,1-12,2023,冬,愛戀&貓戀
UniteUp! 眾星齊聚,1181,1-12,2023,冬,喵萌奶茶屋
無意間變成狗，被喜歡的女生撿回家。,1162,1-12+OVA1-2,2023,冬,幻櫻
魔術士歐菲 流浪之旅 阿邦拉瑪篇 (第三季),1207,1-12,2023,冬,-
REVENGER,1196,1-12,2023,冬,動漫國
輝夜姬想讓人告白 永不結束的初吻,1213,1-4,2022,秋,
再得一勝！,1189,1-13,2023,冬,動漫國
最強陰陽師的異世界轉生記,1198,1-13,2023,冬,-
卡片戰鬥!! 先導者 will+Dress 第二季,1205,1-12,2023,冬,-
文豪野犬 (文豪Stray Dogs) 第四季,1166,1-13,2023,冬,幻櫻
真·進化果實～不知不覺踏上勝利的人生～ (第二季),1204,1-12,2023,冬,-
Buddy Daddies 殺手奶爸,1173,1-12,2023,冬,-
間諜教室,1168,1-12,2023,冬,喵萌奶茶屋
小智是女孩啦！,1165,1-13,2023,冬,極影
弦音 -連結的一射- (第二季),1167,1-13,2023,冬,星空
TechnoRoid 超越意志,1164,1-12,2023,冬,-
擁有超常技能的異世界流浪美食家,1200,1-12,2023,冬,-
搖曳馬娘,1146,1-24,2022,秋,MCE漢化組
英雄王，為了窮盡武道而轉生～而後成為世界最強見習騎士♀～,1194,1-12,2023,冬,喵萌奶茶屋
呆萌酷男孩,1140,1-24,2022,秋,幻櫻
吸血鬼馬上死 第二季,1192,1-12,2023,冬,-
數碼寶貝幽靈遊戲,965,1-67,2021,秋,馴獸師聯盟
萬事屋齋藤先生轉生異世界,1191,1-12,2023,冬,喵萌奶茶屋
D4DJ All Mix (第二季),1190,1-12,2023,冬,喵萌奶茶屋
眾神眷顧的男人 第二季,1188,1-12,2023,冬,-
虛構推理 Season2 (第二季),1187,1-12,2023,冬,漫貓
BLUE LOCK 藍色監獄,1135,1-24,2022,秋,-
TRIGUN STAMPEDE,1180,1-12,2023,冬,-
艦隊Collection 總有一天，在那片海,1152,1-8,2022,秋,NGA&桜都
我的英雄學院 第六季,1112,1-25,2022,秋,-
為了養老金去異界存八萬金,1185,1-12,2023,冬,-
被解雇的暗黑士兵（30多歲）開始了慢生活的第二人生,1182,1-12,2023,冬,-
關於我在無意間被隔壁的天使變成廢柴這件事,1178,1-12,2023,冬,星空
"<a href=""https://anime1.pw/?cat=32"">ShowTime！唱歌的大姐姐也想做 第二季</a>",0,1-8,2023,冬,桜都
傲嬌反派千金莉潔洛特與實況主遠藤同學及解說員小林同學,1177,1-12,2023,冬,-
異世界悠閒農家,1174,1-12,2023,冬,-
阿魯斯的巨獸,1176,1-12,2023,冬,桜都
英雄傳說 閃之軌跡：北方戰役,1171,1-12,2023,冬,幻櫻
關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,1210,劇場版,2022,秋,
不當哥哥了！,1169,1-12,2023,冬,SweetSub
冰劍的魔術師將要統一世界,1170,1-12,2023,冬,-
福星小子(她來自煩星),1145,1-23,2022,秋,喵萌奶茶屋
大雪海的凱納,1203,1-11,2023,冬,極影
轉生公主與天才千金的魔法革命,1161,1-12,2023,冬,喵萌奶茶屋
不相信人類的冒險者們好像要去拯救世界,1160,1-12,2023,冬,悠哈璃羽
冰屬性男子與無表情女子,1163,1-12,2023,冬,悠哈璃羽
不要欺負我，長瀞同學 2nd Attack (第二季),1184,1-12,2023,冬,-
狩火之王,1206,1-10,2023,冬,-
突然降臨的埃及神 第二季,1202,1-10,2023,冬,幻櫻
在地下城尋求邂逅是否搞錯了什麼 Ⅳ (第四季),1099,0-22,2022,夏,愛戀&漫貓
給不滅的你 第二季,1148,1-20,2022,秋,幻櫻
航海王劇場版：紅髮歌姬 ONE PIECE FILM RED,1209,劇場版,2022,夏,
異世界歸來的舅舅,1061,1-13,2022,夏,桜都
入間同學入魔了！ 第三季,1133,1-21,2022,秋,桜都
偶像星願(IDOLiSH7) Third BEAT!,917,1-30,2021,夏,-
JoJo的奇妙冒險 石之海,1011,1-38,2022,冬,悠哈璃羽＆JOJO的奇妙冒險吧
我想成為影之強者！,1127,1-20,2022,秋,桜都
美味派對 ♡ 光之美少女,1006,1-45,2022,冬,雪飄
機動戰士鋼彈 水星的魔女,1119,1-12,2022,秋,喵萌奶茶屋
D4DJ Double Mix,1186,SP,2022,夏,喵萌奶茶屋
劇場版擅長捉弄人的高木同學,1158,劇場版,2022,春,千夏
異世界四重奏～Another World～,1157,劇場版,2022,春,-
異世界迷宮裡的後宮生活,1079,1-12+OVA,2022,夏,桜都
戀愛Flops,1142,1-12,2022,秋,星空
鏈鋸人,1139,1-12,2022,秋,幻櫻
BLEACH 死神 千年血戰篇,1138,1-13,2022,秋,豌豆&風之聖殿
受讚頌者(傳頌之物) 二人的白皇,1065,1-28,2022,夏,幻櫻
彼得·格里爾的賢者時間 Super Extra (第二季),1137,1-12,2022,秋,
夫婦以上，戀人未滿。,1136,1-12,2022,秋,桜都
